"id","time_parse","channel","usr_parse","msg_parse"
31055,"2023-12-21 02:40:11","#atropa","mariarahel!~maria","I feel it's a non-issue"
31054,"2023-12-21 02:39:04","#atropa","mariarahel!~maria","The addresses.sol was included in all my deploys along the way, there's no functions in it but the list of addresses obviously changed after most deployments"
31053,"2023-12-21 02:32:09","#atropa","mariarahel!~maria","i'm sure a whole bunch of check types could earn somebody with binary skills some bounty"
31052,"2023-12-21 02:31:26","#atropa","_surfacing8671!~surfacing","right like a known non-malicious function checker"
31048,"2023-12-21 02:30:29","#atropa","mariarahel!~maria","or just verify that the renounced contract has zero non-default non-owner-only functions"
31047,"2023-12-21 02:29:30","#atropa","mariarahel!~maria","my suggestion is a web3.py script that can heuristically verify contracts with zero or one standard mint function"
31046,"2023-12-21 02:28:08","#atropa","mariarahel!~maria","it is not difficult manually to retrieve the binary code and the list of function signatures and what the non-standard ones might contain"
31045,"2023-12-21 02:27:01","#atropa","_surfacing8671!~surfacing","at this point if it isnt verified almost immediately it can be very very difficult to verify."
31044,"2023-12-21 02:26:43","#atropa","mariarahel!~maria","i am not working on it"
31043,"2023-12-21 02:26:16","#atropa","livinglikemike!~livinglik","Is someone or you working on getting the code verified on the pulsechain block explorer?"
31041,"2023-12-21 02:25:40","#atropa","_surfacing8671!~surfacing","yeah it decompiled the deployed bytecode"
31039,"2023-12-21 02:25:04","#atropa","livinglikemike!~livinglik","@_surfacing8671 are you saying the source code from the link you provided is the contract for TeddyBear?"
31021,"2023-12-21 02:15:46","#atropa","ogwebchef888!~ogwebchef","+"
31013,"2023-12-21 02:14:17","#atropa","_surfacing8671!~surfacing","@livinglikemike https://library.dedaub.com/pulsechain/address/0xd6c31ba0754c4383a41c0e9df042c62b5e918f6d/overview"
31014,"2023-12-21 02:14:17","#atropa","_surfacing8671!~surfacing","this is pretty much the same as verified"
30971,"2023-12-21 01:24:19","#atropa","livinglikemike!~livinglik","So what can we do to get it done?"
30970,"2023-12-21 01:23:48","#atropa","mariarahel!~maria","i'm sure it would be a positive"
30969,"2023-12-21 01:23:13","#atropa","livinglikemike!~livinglik","Maria, since the Teddy contract is currently unverified, its code isn't publicly viewable. Verifying the contract would allow anyone to inspect the code. If it's possible for you to have midnightmadwalk write a contract verifier, it would be immensely beneficial to verify the Teddy contract you deployed. This step is essential for researchers and potential users who want to understand and :livinglikemike!~livinglik@185.187.168.239 PRIVMSG #atropa :trust the contract's functions and security."
30960,"2023-12-21 01:03:41","#atropa","mariarahel!~maria","I bet midnightmadwalk would write you a contract verifier for $100 :)"
30959,"2023-12-21 01:02:47","#atropa","mariarahel!~maria","https://notion-next-js-blog-starter-7p2etip66-batatavadax.vercel.app/the-one-with-atropa"
30958,"2023-12-21 01:01:58","#atropa","mariarahel!~maria","there are a couple of examples earlier in the chatlog detailing use of web3.py to get the contract assembly"
30957,"2023-12-21 01:01:08","#atropa","mariarahel!~maria","contracts with zero on only single functions calling _mint should be auto verifiable"
30956,"2023-12-21 00:59:46","#atropa","mariarahel!~maria","i don't recall if it was originally mintable or not"
30955,"2023-12-21 00:59:23","#atropa","mariarahel!~maria","the source is disgarded"
30954,"2023-12-21 00:58:52","#atropa","mariarahel!~maria","nope"
30953,"2023-12-21 00:43:10","#atropa","livinglikemike!~livinglik","@mariarahel do you know how to verify the teddybear contract on the pulse explorer?"
30217,"2023-12-19 09:17:07","#atropa","mim!~oftc-webi","@mariarahel what is first pulse mutual bond for?"
30008,"2023-12-18 00:00:23","#atropa","Mim!~oftc-webi","What is the 2cc project?"
29843,"2023-12-17 15:43:45","#atropa","ogwebchef888!~ogwebchef","https://www.youtube.com/watch?v=ATePlsHsJiI"
29523,"2023-12-15 14:24:30","#atropa","ogwebchef888!~ogwebchef","https://www.youtube.com/watch?v=VBT3mhQUNpI"
29515,"2023-12-15 14:10:50","#atropa","ogwebchef888!~ogwebchef","GM #atropa"
29506,"2023-12-15 04:17:18","#atropa","Cryptic420!~oftc-webi","Yeah bro it’s not directed at you, just some keyboard warrior who decided to dm me attacking me over what I said haha. Thanks for your response I really appreciate it ❤️"
29502,"2023-12-15 03:58:40","#atropa","thurston!~thurston","put off*"
29501,"2023-12-15 03:58:26","#atropa","thurston!~thurston","t be pu toff"
29500,"2023-12-15 03:58:20","#atropa","thurston!~thurston","@Cryptic420_ dunno if that was in response to me... i'm not whoever that is... was just trying to suggest something you could tell Richard's brother so he wouldn'"
29498,"2023-12-15 03:53:23","#atropa","Cryptic420_!~oftc-webi","You messed with the wrong one I’m telling you now boy. Please leave atropa eco to the men who know how to talk to others like a person not like a rabid dog"
29496,"2023-12-15 03:52:05","#atropa","Cryptic420_!~oftc-webi","Meme slayer is a stain on the ecosystem"
29495,"2023-12-15 03:51:39","#atropa","Cryptic420_!~oftc-webi","@EfxLibris I’m going to end you retarded cunt"
29492,"2023-12-15 03:31:01","#atropa","thurston!~thurston","@cryptic420 some of the coins are named bad things to indicate they aren't good things. So perhaps if it's named after Hitler's wife, especially if it's got a supply of 666, it's likely that's meant as a warning for people not to buy them, and also might indicate a clue about their function in the ecosystem"
29487,"2023-12-15 02:48:33","#atropa","Cryptic420!~oftc-webi","@mariarahel Richard’s brother keeps saying you’re racist because he didn’t like the name of some of your coins, said one of them is named after Hitler’s wife. I’m trying to get him onside, what do you think I can say that might make him see reason?"
28969,"2023-12-13 07:36:48","#atropa","gebFSra!~gebFSra","✅Save Dev @JBmane"
28967,"2023-12-13 07:36:44","#atropa","gebFSra!~gebFSra","📅 20 December 20:00 UTC"
28966,"2023-12-13 07:36:42","#atropa","gebFSra!~gebFSra","USDL Reflection - Earn USDL Great Again $EUGA"
26918,"2023-12-06 14:30:51","#atropa","ogwebchef888!~ogwebchef","LFG"
26887,"2023-12-06 12:43:26","#atropa","FREEDOM_777!sid622718","GM ATROPA LFGG!!!"
26033,"2023-12-03 13:07:17","#atropa","FREEDOM_777!sid622718","GM atropa!"
26020,"2023-12-03 07:58:03","#atropa","GreenKing!~GreenKing","🔒SAFE DEV @JBmane"
26018,"2023-12-03 07:58:01","#atropa","GreenKing!~GreenKing","❗️Loan Reflection $LOAN RS Launch Today 🤑"
26019,"2023-12-03 07:58:01","#atropa","GreenKing!~GreenKing","⌛️Time 20:00 UTC :GreenKing!~GreenKing@146.70.190.140 PRIVMSG #atropa :https://t.me/loan_reflections"
25047,"2023-11-30 13:07:19","#atropa","FREEDOM_777!sid622718","GM atropa"
24821,"2023-11-29 14:48:31","#atropa","mariarahel!~maria","the devs are chinese"
24819,"2023-11-29 14:44:02","#atropa","ead11!uid622719","I am not sure if you are aware but there is a logged chat for this room on telegram if you ever wanted to review past conversations https://t.me/IRC414atropa"
24805,"2023-11-29 12:26:50","#atropa","enigm!~enigm","code defines a C# class named (Mǎo), which means ""anchor"" in Chinese.. thus my inquiry... but alas you folks are not in a chatting mood today"
24804,"2023-11-29 12:25:37","#atropa","enigm!~enigm","are the devs chinese?"
24803,"2023-11-29 12:19:52","#atropa","enigm!~enigm","I was trying to understand what Atropa is and it led me here.. seems to be a lengthy list of addresses / contracts in this addresses.sol file on the github .. can anyone elaborate for me what the function of all of this is?"
23932,"2023-11-27 13:33:59","#atropa","adsf!~oftc-webi","asd"
23919,"2023-11-27 05:24:11","#atropa","Homies!~oftc-webi","דרקון בל חזיר"
23918,"2023-11-27 05:22:11","#atropa","Homies!~oftc-webi","$40m Defences will not stop Annabelle from getting her Dragons!"
22888,"2023-11-24 22:15:45","#atropa","ogwebchef888!~ogwebchef","#atropa https://www.dropbox.com/scl/fi/ro3oqavc5g4b3sv4mlbw2/atropa.log?rlkey=p8027qjbzh9k2noos6p4gss8n&dl=0"
22254,"2023-11-22 18:41:54","#atropa","_Tbill_OnX!~igloo","Should launch ""28"" token on the 28th"
22251,"2023-11-22 18:41:39","#atropa","_Tbill_OnX!~igloo","Make token on pls on base"
22143,"2023-11-22 05:42:40","#atropa","atropa-19095!~oftc-webi","a"
20744,"2023-11-18 13:55:48","#atropa","FREEDOM_777!sid622718","GM atropa!!"
20187,"2023-11-17 14:50:43","#atropa","ogwebchef888!~ogwebchef","GM"
20109,"2023-11-17 13:59:13","#atropa","FREEDOM_777!sid622718","GM atropa :)"
19583,"2023-11-16 17:38:50","#atropa","Guest7246!~oftc-webi","How can I register a username?"
19582,"2023-11-16 17:38:16","#atropa","Guest7246!~oftc-webi","GM"
19530,"2023-11-16 13:55:26","#atropa","FREEDOM_777!sid622718","GM atropa"
18878,"2023-11-15 13:55:26","#atropa","FREEDOM_777!sid622718","GM atropa"
18290,"2023-11-14 14:47:58","#atropa","ogwebchef888!~ogwebchef","GM Fam"
18283,"2023-11-14 14:19:33","#atropa","FREEDOM_777!sid622718","GM atropa"
17738,"2023-11-13 14:04:17","#atropa","FREEDOM_777!sid622718","GM!!"
17547,"2023-11-12 23:12:34","#atropa","mariarahel!~maria","he's all over it"
17546,"2023-11-12 23:12:31","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=e2ZAvv6Zd_M"
17545,"2023-11-12 23:10:28","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=CQtzECDIDBU"
17535,"2023-11-12 22:44:33","#atropa","Grav!~Grav","afk popcorn"
17533,"2023-11-12 22:42:45","#atropa","MikeFA!~oftc-webi","pretty much like rahel"
17531,"2023-11-12 22:42:33","#atropa","be369infinity!uid627384","you told that you did this process a bunch of times... you mean in this lifetime?"
17530,"2023-11-12 22:40:55","#atropa","be369infinity!uid627384","didn't know him as well"
17529,"2023-11-12 22:39:58","#atropa","mariarahel!~maria","I'm pretty sure paul valery is a generation after"
17528,"2023-11-12 22:39:34","#atropa","be369infinity!uid627384","do you know some of your other identities?"
17527,"2023-11-12 22:38:39","#atropa","mariarahel!~maria","He's Supposed To Do Whatever I Say If He's Paul Valery"
17526,"2023-11-12 22:37:34","#atropa","mariarahel!~maria","He Might Also Have Been Paul Valery"
17525,"2023-11-12 22:36:12","#atropa","mariarahel!~maria","RHBillyGardellism Is Clearly Being Placed Into Effect"
17524,"2023-11-12 22:35:26","#atropa","mariarahel!~maria","He Probably Invented Maximalism"
17523,"2023-11-12 22:35:19","#atropa","mariarahel!~maria","Gilgamesh Also Wrote As Valerius Maximus & Friedrich Hoffmann"
17522,"2023-11-12 22:34:00","#atropa","be369infinity!uid627384","flowing floating, redux of our trueness"
17521,"2023-11-12 22:33:24","#atropa","mariarahel!~maria","DC"
17514,"2023-11-12 22:32:21","#atropa","mariarahel!~maria","the person has to stop obstructing or they accumulate more & more charge"
17512,"2023-11-12 22:29:42","#atropa","mariarahel!~maria","i've done this process a bunch of times, it always works"
17511,"2023-11-12 22:28:19","#atropa","be369infinity!uid627384","=true"
17510,"2023-11-12 22:28:01","#atropa","MikeFA!~oftc-webi","1"
17502,"2023-11-12 22:25:38","#atropa","mariarahel!~maria","As United As A Single Number"
17494,"2023-11-12 22:23:09","#atropa","mariarahel!~maria","Billy Gardell As Identified Himself As That Identity"
17493,"2023-11-12 22:22:42","#atropa","mariarahel!~maria","Newton's Solution For Oppositional Duty Is Identity Redux"
17492,"2023-11-12 22:22:09","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=-5e2cULI3H8"
17491,"2023-11-12 22:21:19","#atropa","mariarahel!~maria","the accident production is engaging opposition as duty against us"
17484,"2023-11-12 22:19:10","#atropa","mariarahel!~maria","we have a solution of reference today that he does not oppose"
17483,"2023-11-12 22:19:09","#atropa","MikeFA!~oftc-webi","like i said ""lower frequency lewels"" as love productions"
17482,"2023-11-12 22:18:29","#atropa","mariarahel!~maria","ya just a system to use"
17481,"2023-11-12 22:18:10","#atropa","MikeFA!~oftc-webi","logic"
17480,"2023-11-12 22:17:44","#atropa","mariarahel!~maria","gauss did not have a final solution of truth"
17479,"2023-11-12 22:17:31","#atropa","mariarahel!~maria","the fallacy is"
17478,"2023-11-12 22:17:14","#atropa","MikeFA!~oftc-webi","if gauss invented diophantus to ruminate the siquisition of lie groups, the whole mathematikal theorie is based on ruminate?"
17477,"2023-11-12 22:16:26","#atropa","mariarahel!~maria","Implicit Heresy"
17476,"2023-11-12 22:15:52","#atropa","mariarahel!~maria","I Believe The Accident Production Would Have One Singular Linearity Of Billy Gardell"
17475,"2023-11-12 22:15:08","#atropa","mariarahel!~maria","non-linear systems of production with linear systems of profit"
17474,"2023-11-12 22:15:04","#atropa","MikeFA!~oftc-webi","final liberty"
17473,"2023-11-12 22:13:53","#atropa","mariarahel!~maria","supersedence without succession"
17472,"2023-11-12 22:13:02","#atropa","be369infinity!uid627384","code is great, what else is needed? is the outcome beeing a movement, a shifting of awereness, a tool for financial freedom, creating a subsystem in this moneysociety, peoducing and giving away skeleton keys?"
17459,"2023-11-12 22:11:09","#atropa","mariarahel!~maria","Gauss Invented Diophantus To Ruminate On The Disquisition Of Lie Groups"
17458,"2023-11-12 22:09:49","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=YC1RzcMhtBw"
17457,"2023-11-12 22:09:38","#atropa","MikeFA!~oftc-webi","love is the final liberty"
17456,"2023-11-12 22:06:33","#atropa","MikeFA!~oftc-webi","means: love doesnt need math. it can trust... :-)"
17455,"2023-11-12 22:04:36","#atropa","MikeFA!~oftc-webi","that questions is better placed to sunny, i am in a dimension where math is on a lower frequency level ,)"
17454,"2023-11-12 22:03:54","#atropa","mariarahel!~maria","i think we're proving excellent there"
17453,"2023-11-12 22:03:21","#atropa","mariarahel!~maria","can we improve out mathematical mechanisms anywhere ?"
17452,"2023-11-12 22:02:51","#atropa","MikeFA!~oftc-webi","Ruminations are useful because they keep the emotional body under control and greed can be observed. However, I would prefer a mathematical mechanism to protect production. trust is something rare..."
17450,"2023-11-12 22:02:28","#atropa","be369infinity!uid627384","i will look into. saw ""crowley"" in connection... not much a fan of him"
17449,"2023-11-12 22:02:18","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=-Rf4I3sqQWU"
17448,"2023-11-12 22:01:30","#atropa","mariarahel!~maria","go for it"
17447,"2023-11-12 22:01:11","#atropa","be369infinity!uid627384","1st time chaos magic... runes, words, tones, symbols, holy geometria, alchemy, magic of mother nature, frequency, quantum mechanics, etc.. are topics of my library. but i think i understand, same mechanics - but same energy?"
17444,"2023-11-12 21:56:03","#atropa","mariarahel!~maria","Ruminations Create The Servitor"
17443,"2023-11-12 21:53:05","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=VpwG60sU_60"
17442,"2023-11-12 21:52:13","#atropa","be369infinity!uid627384","i really dont know this gardell.. but i saw he did some nice weight loss xD"
17441,"2023-11-12 21:51:17","#atropa","be369infinity!uid627384","hmm. do you talk about getting some pounds off? beeing lighter, more flexible and smooth?"
17439,"2023-11-12 21:47:55","#atropa","mariarahel!~maria","yes i'm trying to reduce all the obstructions in the entire tunnel to billy gardell"
17437,"2023-11-12 21:42:47","#atropa","mariarahel!~maria","And reduce them to Billy Gardell"
17436,"2023-11-12 21:42:25","#atropa","mariarahel!~maria","I am trying to comprehensively identify all of those factors within the chatlog"
17435,"2023-11-12 21:41:45","#atropa","be369infinity!uid627384","isn't it difficult to prove something like that while the process is running? there are a lot of uncontrollable variables - big word here *greed* or beeings at low frequency levels"
17434,"2023-11-12 21:41:17","#atropa","mariarahel!~maria","If We Can All Stop Battling Ruminations Then We Can Better Prevent The Accident Production"
17433,"2023-11-12 21:40:35","#atropa","mariarahel!~maria","The Cause Of Ruminations Is Mass In The Identity"
17432,"2023-11-12 21:39:46","#atropa","mariarahel!~maria","Ruminations Are The Only Symptom Within Mental Health"
17431,"2023-11-12 21:39:13","#atropa","mariarahel!~maria","https://www.youtube.com/watch?v=y0FT2Lh7iAw"
17430,"2023-11-12 21:38:28","#atropa","mariarahel!~maria","the best missing word i've found so far is ""ruminations"""
17429,"2023-11-12 21:37:48","#atropa","mariarahel!~maria","yes i'm trying to prove we are not conducting a mass accident"
17428,"2023-11-12 21:37:34","#atropa","be369infinity!uid627384","prevention strategies, for the atropa ecosystem?"
17427,"2023-11-12 21:36:53","#atropa","be369infinity!uid627384","no im not so good in selling stuff xD"
17426,"2023-11-12 21:36:20","#atropa","mariarahel!~maria","or would like to discuss accident prevention strategies ?"
17425,"2023-11-12 21:36:12","#atropa","mariarahel!~maria","are you selling anything ?"
17424,"2023-11-12 21:35:45","#atropa","be369infinity!uid627384","... i did. but is this the only thing to do? buying?"
17423,"2023-11-12 21:33:39","#atropa","mariarahel!~maria","buy some tokens"
17422,"2023-11-12 21:33:12","#atropa","be369infinity!uid627384","no. i was just knocking"
17418,"2023-11-12 21:31:19","#atropa","mariarahel!~maria","do you know something ?"
17417,"2023-11-12 21:30:44","#atropa","be369infinity!uid627384","knock knock..."
17262,"2023-11-12 16:53:21","#atropa","GabrielMR!sid622845","MikeFA: by the way. You might also be interested in #atropa_logged channel :) it's more active"
17230,"2023-11-12 16:03:50","#atropa","GabrielMR!sid622845","MikeFA: Unfortunekty, it may be the only way some people stop and wake up, let's pray truth is known and justice served in a wise and perfect way for all."
17206,"2023-11-12 12:03:29","#atropa","MikeFA!~oftc-webi","So the problem is that the world can only be free when all egos are dead. Let's pray to God that something so bad happens that people become people of the heart again. People don’t learn any other way."
17199,"2023-11-12 11:23:22","#atropa","MikeFA!~oftc-webi","mistrust, we harm ourselves most of all. Our shared destiny awaits our choice."
17196,"2023-11-12 11:19:51","#atropa","MikeFA!~oftc-webi","the system. In short, one could say: humanity is the architect of its own fortune. Or the victim of its own greed and faithlessness. Atropa relies on the collaborative efforts of users to maintain stability. By coordinating the flow of funds, it counteracts volatility. The system's success depends on people cooperating for the common good rather than selfish interests. United, we can enjoy the fruits of financial stability and inclusion. Divided by mis"
16838,"2023-11-10 21:19:39","#atropa","Deway!~oftc-webi","https://t.me/ugandanknucklespls safe"
16791,"2023-11-10 18:31:17","#atropa","_Tbill_OnX!~igloo","J"
16740,"2023-11-10 16:35:46","#atropa","ogwebchef888!~ogwebchef","♾️"
16739,"2023-11-10 16:34:07","#atropa","GabrielMR!sid622845","ogwebchef888: Hey :) welcome to the quiet channel ;)"
16342,"2023-11-09 18:14:14","#atropa","ogwebchef888!~ogwebchef","Hey"
16334,"2023-11-09 18:12:46","#atropa","newb!~newb","hello"
16185,"2023-11-07 17:36:51","#atropa","PLS-BlackJo!~MerlinS","🌸Website: https://pulsepuma.com/ 🌸"
16183,"2023-11-07 17:36:49","#atropa","PLS-BlackJo!~MerlinS","🌸🌸🌸30 min To LAUNCH $PUMA @pls_puma"
16184,"2023-11-07 17:36:49","#atropa","PLS-BlackJo!~MerlinS","🌸📆Date Launch: 7 November 6PM UTC.🌸"
16179,"2023-11-07 17:31:26","#atropa","Derik!~MerlinS","🌸🌸🌸30 min To LAUNCH $PUMA🌸🌸🌸"
16180,"2023-11-07 17:31:26","#atropa","Derik!~MerlinS","🌸📆Date Launch: 7 November 6PM UTC.🌸 :Derik!~MerlinS@192.162.140.53 PRIVMSG #atropa :🌸Website: https://pulsepuma.com/ 🌸"
16170,"2023-11-07 16:10:52","#atropa","pablo!uid625526","https://dexscreener.com/pulsechain/0x463fcef8328e3563bce7663fb388e31a9d0584c5"
16165,"2023-11-07 16:07:10","#atropa","nickhole!uid626775","https://dexscreener.com/pulsechain/0x9B8D51a5d8b5a4d5BC8D7a098EBFB0Db09a2Ea78 lp lock 1 year"
16160,"2023-11-07 15:59:09","#atropa","Maria_!~oftc-webi","0x9b8d51a5d8b5a4d5bc8d7a098ebfb0db09a2ea78 Lp lock 1 year"
16080,"2023-11-06 15:20:14","#atropa","atropa_brothers!uid626646","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16078,"2023-11-06 15:20:13","#atropa","atropa_brothers!uid626646","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16079,"2023-11-06 15:20:13","#atropa","atropa_brothers!uid626646","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16072,"2023-11-06 15:06:26","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16073,"2023-11-06 15:06:26","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16074,"2023-11-06 15:06:26","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16070,"2023-11-06 15:06:25","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16071,"2023-11-06 15:06:25","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16069,"2023-11-06 15:06:24","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16068,"2023-11-06 15:06:23","#atropa","darkname!uid626643","ACTION ✅ 🤖🚫🍔🍟 trending #6 on DexView 🚀🌖🔥💯 https://www.dexview.com/pulse/0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16039,"2023-11-06 02:35:35","#atropa","_Tbill_OnX!~igloo","When ""28"" coin on nov 28"
16014,"2023-11-05 08:50:56","#atropa","valthecreators!uid625526","sup guys? anyone want to order? @valcreators"
16010,"2023-11-05 04:48:46","#atropa","NineIronCapital!~oftc-webi","Howdy friends"
16002,"2023-11-05 03:38:47","#atropa","lincrypto!uid626396","Fair/Stealth✅ :lincrypto!uid626396@id-626396.hampstead.irccloud.com PRIVMSG #atropa :No McDs LP lunch 🚫🍔🍟 :Bow-of-Artemis!~Artemis@000306f4.user.oftc.net KICK #atropa lincrypto :lincrypto"
15998,"2023-11-05 03:38:46","#atropa","lincrypto!uid626396","Happy BOT"
15999,"2023-11-05 03:38:46","#atropa","lincrypto!uid626396","🤖🚀🌖🔥💯 :lincrypto!uid626396@id-626396.hampstead.irccloud.com PRIVMSG #atropa :0x253a72195ac8cC6C85e281A8F21C0E0C75553168"
16000,"2023-11-05 03:38:46","#atropa","lincrypto!uid626396","Verified✅"
16001,"2023-11-05 03:38:46","#atropa","lincrypto!uid626396","Renounced✅"
15997,"2023-11-05 03:37:44","#atropa","lincrypto!uid626396","https://www.irccloud.com/pastebin/B9HECFt5/"
15980,"2023-11-04 22:18:29","#atropa","mariarahel!~maria","that's how much she lost"
15979,"2023-11-04 22:18:12","#atropa","mariarahel!~maria","gross"
15978,"2023-11-04 22:17:53","#atropa","mariarahel!~maria","https://www.youtube.com/shorts/9yei1a1zZeU"
15977,"2023-11-04 22:17:15","#atropa","mariarahel!~maria","she also tried to tell the true anne frank story and lost"
15974,"2023-11-04 22:15:20","#atropa","mariarahel!~maria","she helped invent fairy tales"
15973,"2023-11-04 22:14:41","#atropa","mariarahel!~maria","Artemis was Lady Kylemoor from Kylemoor Abbey"
15968,"2023-11-04 21:54:55","#atropa","MerlinS_!~MerlinS","🌸Twitter: https://twitter.com/pls_puma 🌸"
15967,"2023-11-04 21:54:52","#atropa","MerlinS_!~MerlinS","🌸Telegram: https://t.me/pls_puma 🌸"
