"id","dt_created","dt_updated","dt_deleted","server","port","nick_log","channel","str_print","time_parse","usr_full_parse","usr_loc_parse","usr_parse","msg_parse","msg_type_parse","raw_data"
31142,"2023-12-21 05:56:42","2023-12-21 05:56:42",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 05:56:42.65] :ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 QUIT :Read error: Connection reset by peer
","2023-12-21 05:56:42","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 QUIT :Read error: Connection reset by peer
"
31122,"2023-12-21 05:26:07","2023-12-21 05:26:07",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 05:26:07.00] :ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 MODE #pulsechain -bbbb *!*@89.187.168.* *!*@107.150.31.79 *!*@198.12.76.218 *!*@172.241.26.87
","2023-12-21 05:26:07","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 MODE #pulsechain -bbbb *!*@89.187.168.* *!*@107.150.31.79 *!*@198.12.76.218 *!*@172.241.26.87
"
31118,"2023-12-21 05:24:21","2023-12-21 05:24:21",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 05:24:21.31] :ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 MODE #pulsechain -bbbb *!*@89.187.168.* *!*@107.150.31.79 *!*@198.12.76.218 *!*@172.241.26.87
","2023-12-21 05:24:21","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 MODE #pulsechain -bbbb *!*@89.187.168.* *!*@107.150.31.79 *!*@198.12.76.218 *!*@172.241.26.87
"
31116,"2023-12-21 05:22:03","2023-12-21 05:22:03",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 05:22:03.68] :ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 MODE #pulsechain -b MyIrcBot!*@*
","2023-12-21 05:22:03","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 MODE #pulsechain -b MyIrcBot!*@*
"
31107,"2023-12-21 03:57:18","2023-12-21 03:57:18",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 03:57:18.98] :always-on-client!alexander_@194.87.62.227 JOIN :#pulsechain
","2023-12-21 03:57:18","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":always-on-client!alexander_@194.87.62.227 JOIN :#pulsechain
"
31099,"2023-12-21 03:28:37","2023-12-21 03:28:37",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 03:28:37.81] :ironclad!uid623023@id-623023.hampstead.irccloud.com JOIN :#pulsechain
","2023-12-21 03:28:37","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ironclad!uid623023@id-623023.hampstead.irccloud.com JOIN :#pulsechain
"
31086,"2023-12-21 03:18:06","2023-12-21 03:18:06",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 03:18:06.05] :Thigh-of-Chicken!~Chicken@208.87.128.84 JOIN :#pulsechain
","2023-12-21 03:18:06","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Thigh-of-Chicken!~Chicken@208.87.128.84 JOIN :#pulsechain
"
31084,"2023-12-21 03:18:00","2023-12-21 03:18:00",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 03:18:00.06] :Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
","2023-12-21 03:18:00","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
"
31082,"2023-12-21 03:17:54","2023-12-21 03:17:54",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 03:17:54.32] :Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
","2023-12-21 03:17:54","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
"
31078,"2023-12-21 03:17:53","2023-12-21 03:17:53",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 03:17:53.27] :Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
","2023-12-21 03:17:53","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
"
31009,"2023-12-21 02:13:28","2023-12-21 02:13:28",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-21 02:13:28.53] :ironclad!uid623023@id-623023.hampstead.irccloud.com QUIT :Quit: Connection closed for inactivity
","2023-12-21 02:13:28","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ironclad!uid623023@id-623023.hampstead.irccloud.com QUIT :Quit: Connection closed for inactivity
"
30945,"2023-12-20 23:33:10","2023-12-20 23:33:10",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 23:33:10.62] #pulsechain  <ogwebchef888!~ogwebchef>    His log is the best out","2023-12-20 23:33:10","ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665","@2600:1700:5890:8860:1dae:7047:7ab5:d665","ogwebchef888!~ogwebchef","His log is the best out","PRIVMSG",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 PRIVMSG #pulsechain :His log is the best out
"
30944,"2023-12-20 23:33:02","2023-12-20 23:33:02",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 23:33:02.21] #pulsechain  <ogwebchef888!~ogwebchef>    Also cryptojo wallet can use some extra IRC tokens ngl","2023-12-20 23:33:02","ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665","@2600:1700:5890:8860:1dae:7047:7ab5:d665","ogwebchef888!~ogwebchef","Also cryptojo wallet can use some extra IRC tokens ngl","PRIVMSG",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 PRIVMSG #pulsechain :Also cryptojo wallet can use some extra IRC tokens ngl
"
30943,"2023-12-20 23:32:20","2023-12-20 23:32:20",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 23:32:20.56] #pulsechain  <ogwebchef888!~ogwebchef>    Thoughts? @mariarahel","2023-12-20 23:32:20","ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665","@2600:1700:5890:8860:1dae:7047:7ab5:d665","ogwebchef888!~ogwebchef","Thoughts? @mariarahel","PRIVMSG",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 PRIVMSG #pulsechain :Thoughts? @mariarahel
"
30942,"2023-12-20 23:32:10","2023-12-20 23:32:10",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 23:32:10.40] #pulsechain  <ogwebchef888!~ogwebchef>    Lil Jap Teddy Bear waking up looks like","2023-12-20 23:32:10","ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665","@2600:1700:5890:8860:1dae:7047:7ab5:d665","ogwebchef888!~ogwebchef","Lil Jap Teddy Bear waking up looks like","PRIVMSG",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 PRIVMSG #pulsechain :Lil Jap Teddy Bear waking up looks like
"
30938,"2023-12-20 23:20:07","2023-12-20 23:20:07",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 23:20:07.09] :jameshexican!uid622906@id-622906.ilkley.irccloud.com QUIT :Quit: Connection closed for inactivity
","2023-12-20 23:20:07","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":jameshexican!uid622906@id-622906.ilkley.irccloud.com QUIT :Quit: Connection closed for inactivity
"
30915,"2023-12-20 21:04:14","2023-12-20 21:04:14",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 21:04:14.26] :patrickg7818!uid625795@id-625795.tinside.irccloud.com QUIT :Quit: Connection closed for inactivity
","2023-12-20 21:04:14","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":patrickg7818!uid625795@id-625795.tinside.irccloud.com QUIT :Quit: Connection closed for inactivity
"
30847,"2023-12-20 19:55:49","2023-12-20 19:55:49",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:55:49.93] #pulsechain  <FREEDOM_777!sid622718>    Thanks Kymato Dev for the updates if you ever see this 🙏","2023-12-20 19:55:49","FREEDOM_777!sid622718@id-622718.hampstead.irccloud.com","@id-622718.hampstead.irccloud.com","FREEDOM_777!sid622718","Thanks Kymato Dev for the updates if you ever see this 🙏","PRIVMSG",":FREEDOM_777!sid622718@id-622718.hampstead.irccloud.com PRIVMSG #pulsechain :Thanks Kymato Dev for the updates if you ever see this 🙏
"
30835,"2023-12-20 19:53:05","2023-12-20 19:53:05",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:53:05.90] #pulsechain  <ogwebchef888!~ogwebchef>    $HYSC looking primed to pop","2023-12-20 19:53:05","ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665","@2600:1700:5890:8860:1dae:7047:7ab5:d665","ogwebchef888!~ogwebchef","$HYSC looking primed to pop","PRIVMSG",":ogwebchef888!~ogwebchef@2600:1700:5890:8860:1dae:7047:7ab5:d665 PRIVMSG #pulsechain :$HYSC looking primed to pop
"
30800,"2023-12-20 19:36:21","2023-12-20 19:36:21",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:36:21.42] :Pork-of-Rib!~Rib@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:36:21","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 QUIT :Remote host closed the connection
"
30803,"2023-12-20 19:36:21","2023-12-20 19:36:21",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:36:21.44] :Sir-of-Loin!~Loin@208.87.128.84 QUIT :Read error: Connection reset by peer
","2023-12-20 19:36:21","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 QUIT :Read error: Connection reset by peer
"
30804,"2023-12-20 19:36:21","2023-12-20 19:36:21",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:36:21.48] :Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:36:21","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
"
30809,"2023-12-20 19:36:21","2023-12-20 19:36:21",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:36:21.56] :Thigh-of-Chicken!~Chicken@208.87.128.84 QUIT :Read error: Connection reset by peer
","2023-12-20 19:36:21","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Thigh-of-Chicken!~Chicken@208.87.128.84 QUIT :Read error: Connection reset by peer
"
30793,"2023-12-20 19:35:00","2023-12-20 19:35:00",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:35:00.49] :Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:35:00","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
"
30790,"2023-12-20 19:34:56","2023-12-20 19:34:56",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:34:56.18] :Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:34:56","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
"
30786,"2023-12-20 19:34:54","2023-12-20 19:34:54",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:34:54.01] :Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:34:54","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
"
30785,"2023-12-20 19:34:50","2023-12-20 19:34:50",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:34:50.19] :Thigh-of-Chicken!~Chicken@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:34:50","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Thigh-of-Chicken!~Chicken@208.87.128.84 JOIN :#pulsechain
"
30767,"2023-12-20 19:32:16","2023-12-20 19:32:16",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:32:16.03] :Pork-of-Rib!~Rib@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:32:16","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 QUIT :Remote host closed the connection
"
30768,"2023-12-20 19:32:16","2023-12-20 19:32:16",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:32:16.06] :Sir-of-Loin!~Loin@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:32:16","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 QUIT :Remote host closed the connection
"
30762,"2023-12-20 19:32:15","2023-12-20 19:32:15",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:32:15.94] :Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:32:15","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
"
30760,"2023-12-20 19:32:06","2023-12-20 19:32:06",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:32:06.11] :Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:32:06","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
"
30758,"2023-12-20 19:31:56","2023-12-20 19:31:56",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:31:56.52] :Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:31:56","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
"
30753,"2023-12-20 19:31:55","2023-12-20 19:31:55",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:31:55.13] :Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
","2023-12-20 19:31:55","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
"
30730,"2023-12-20 19:23:33","2023-12-20 19:23:33",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:23:33.67] :ironclad!uid623023@id-623023.hampstead.irccloud.com JOIN :#pulsechain
","2023-12-20 19:23:33","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":ironclad!uid623023@id-623023.hampstead.irccloud.com JOIN :#pulsechain
"
30711,"2023-12-20 19:15:53","2023-12-20 19:15:53",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:15:53.79] :Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:15:53","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
"
30714,"2023-12-20 19:15:53","2023-12-20 19:15:53",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:15:53.87] :Thigh-of-Chicken!~Chicken@208.87.128.84 QUIT :Read error: Connection reset by peer
","2023-12-20 19:15:53","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Thigh-of-Chicken!~Chicken@208.87.128.84 QUIT :Read error: Connection reset by peer
"
30715,"2023-12-20 19:15:53","2023-12-20 19:15:53",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:15:53.88] :Sir-of-Loin!~Loin@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:15:53","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 QUIT :Remote host closed the connection
"
30718,"2023-12-20 19:15:53","2023-12-20 19:15:53",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 19:15:53.94] :Pork-of-Rib!~Rib@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 19:15:53","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 QUIT :Remote host closed the connection
"
30669,"2023-12-20 18:54:24","2023-12-20 18:54:24",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 18:54:24.36] :patrickg7818!uid625795@id-625795.tinside.irccloud.com JOIN :#pulsechain
","2023-12-20 18:54:24","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":patrickg7818!uid625795@id-625795.tinside.irccloud.com JOIN :#pulsechain
"
30651,"2023-12-20 16:01:44","2023-12-20 16:01:44",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 16:01:44.11] :Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
","2023-12-20 16:01:44","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 JOIN :#pulsechain
"
30650,"2023-12-20 16:01:41","2023-12-20 16:01:41",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 16:01:41.10] :Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
","2023-12-20 16:01:41","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 JOIN :#pulsechain
"
30648,"2023-12-20 16:01:35","2023-12-20 16:01:35",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 16:01:35.38] :Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
","2023-12-20 16:01:35","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 JOIN :#pulsechain
"
30642,"2023-12-20 16:01:34","2023-12-20 16:01:34",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 16:01:34.09] :Thigh-of-Chicken!~Chicken@208.87.128.84 JOIN :#pulsechain
","2023-12-20 16:01:34","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Thigh-of-Chicken!~Chicken@208.87.128.84 JOIN :#pulsechain
"
30638,"2023-12-20 16:00:10","2023-12-20 16:00:10",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 16:00:10.35] :jameshexican!uid622906@id-622906.ilkley.irccloud.com JOIN :#pulsechain
","2023-12-20 16:00:10","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":jameshexican!uid622906@id-622906.ilkley.irccloud.com JOIN :#pulsechain
"
30606,"2023-12-20 11:36:40","2023-12-20 11:36:40",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 11:36:40.00] :SHVDXW9!~SHVDXW9@116.90.74.92 JOIN :#pulsechain
","2023-12-20 11:36:40","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":SHVDXW9!~SHVDXW9@116.90.74.92 JOIN :#pulsechain
"
30603,"2023-12-20 10:09:10","2023-12-20 10:09:10",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 10:09:10.34] :SHVDXW9!~SHVDXW9@116.90.74.92 QUIT :Ping timeout: 480 seconds
","2023-12-20 10:09:10","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":SHVDXW9!~SHVDXW9@116.90.74.92 QUIT :Ping timeout: 480 seconds
"
30602,"2023-12-20 05:31:06","2023-12-20 05:31:06",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 05:31:06.04] :nimble!~oftc-webi@146.70.10.31 QUIT :Remote host closed the connection
","2023-12-20 05:31:06","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":nimble!~oftc-webi@146.70.10.31 QUIT :Remote host closed the connection
"
30598,"2023-12-20 03:56:27","2023-12-20 03:56:27",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 03:56:27.19] :nimble!~oftc-webi@146.70.10.31 JOIN :#pulsechain
","2023-12-20 03:56:27","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":nimble!~oftc-webi@146.70.10.31 JOIN :#pulsechain
"
30597,"2023-12-20 03:55:58","2023-12-20 03:55:58",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 03:55:58.89] :jameshexican!uid622906@id-622906.ilkley.irccloud.com QUIT :Quit: Connection closed for inactivity
","2023-12-20 03:55:58","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":jameshexican!uid622906@id-622906.ilkley.irccloud.com QUIT :Quit: Connection closed for inactivity
"
30578,"2023-12-20 00:34:31","2023-12-20 00:34:31",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 00:34:31.01] :Pork-of-Rib!~Rib@208.87.128.84 QUIT :Read error: Connection reset by peer
","2023-12-20 00:34:31","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Pork-of-Rib!~Rib@208.87.128.84 QUIT :Read error: Connection reset by peer
"
30581,"2023-12-20 00:34:31","2023-12-20 00:34:31",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 00:34:31.10] :Thigh-of-Chicken!~Chicken@208.87.128.84 QUIT :Read error: Connection reset by peer
","2023-12-20 00:34:31","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Thigh-of-Chicken!~Chicken@208.87.128.84 QUIT :Read error: Connection reset by peer
"
30574,"2023-12-20 00:34:30","2023-12-20 00:34:30",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 00:34:30.94] :Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 00:34:30","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Strip-of-Bacon!~Bacon@208.87.128.84 QUIT :Remote host closed the connection
"
30575,"2023-12-20 00:34:30","2023-12-20 00:34:30",,"irc.debian.org","6667","hlogr0","#pulsechain","[2023-12-20 00:34:30.96] :Sir-of-Loin!~Loin@208.87.128.84 QUIT :Remote host closed the connection
","2023-12-20 00:34:30","nil_parse","nil_parse","nil_parse","nil_parse","nil_parse",":Sir-of-Loin!~Loin@208.87.128.84 QUIT :Remote host closed the connection
"
